"line" "CW" "DTA" "DTS" "DTT" "ED" "EH" "EL" "ELL" "ELW" "ERN" "EW" "KNPE" "KNPR" "KWPE" "LBT" "PH" "TBN" "TL"
"1" "MG_298_X_MG_1530" 40.82 62.42 62.94 61.03 4.96 89.64 20.07 87.42 10.25 16.29 237.57 614.48 38.21 207.33 5.58 267.13 11.54 38.27
"2" "MG_298_X_MG_1534" 42.99 69.24 68.43 68 5.23 114.56 20.31 94.29 11.1 17.67 273.11 753.26 42.08 236.06 6.15 279.83 10.33 36
"3" "MG_298_X_MG_1538" 49.9 72.55 73.35 71.3 4.92 123.5 21.57 97.47 10.9 15.39 262.57 617.33 39.94 211.96 6.03 290.69 12.41 42.23
"4" "MG_298_X_MG_1540" 42.05 65.74 66.6 64.33 4.9 125.12 20 93.08 10.45 15.87 227.98 605.44 38.47 190.03 6.35 280.56 10.85 38.75
"5" "MG_298_X_MG_1518" 31.46 66.66 69.53 65.62 4.77 118.17 19.94 90.07 11.07 15.15 228.14 609.57 39.86 192.96 4.94 276.83 10.22 40.23
"6" "MG_298_X_MG_1519" 40.74 67.58 68.07 66.72 5.12 119.64 19.54 89.53 10.72 17.07 256.13 674.18 39.56 216 5.8 281.17 9.08 37.82
"7" "MG_298_X_MG_1520" 39.01 65.74 67.7 64.88 5.21 123.98 18.95 89.63 10.47 18.7 247.34 745.77 40.35 212.99 5.58 279.31 11.18 36.56
"8" "MG_298_X_MG_1521" 40.84 68.5 69.53 67.82 5.05 106.41 19.85 92.59 11.3 16.62 251.21 617.58 37.99 208.91 5.69 269.53 7.65 36.07
"9" "MG_298_X_MG_1522" 40.91 67.76 68.07 66.72 5.24 106.81 18.65 91.07 10.4 16.23 240.5 605.7 38.05 213.26 5.1 245.34 10.33 36.24
"10" "MG_298_X_MG_1523" 42.33 66.84 68.25 63.78 4.84 96.27 21.36 90.64 10.93 13.22 242.63 575.46 41.59 210.19 5.32 261.54 14.15 40.31
"11" "MG_298_X_MG_1524" 40.51 68.13 68.25 67.27 5.05 125.61 19.13 88.62 12.21 15.99 230.41 564.09 36.44 198.26 6.82 275.63 11.14 33.76
"12" "MG_298_X_MG_1525" 45.79 69.24 70.81 68.37 4.96 119.72 20.57 97.35 10.77 15.21 252.89 613.71 39.92 206.67 5.99 274.32 10.99 39.33
"13" "MG_298_X_MG_1526" 40.73 68.13 68.8 66.35 5.19 109.74 18.97 93.2 11.17 15.63 231.69 583.73 37.83 211.1 5.92 253.22 12.55 35.68
"14" "MG_298_X_MG_1527" 42.25 66.66 67.33 65.62 5.23 124.14 18.88 91.4 10.34 18.52 262.61 710.36 39.18 222.39 5.58 280.74 8.75 35.33
"15" "MG_298_X_MG_1528" 36.17 66.66 67.52 65.07 5.08 92.73 19.09 89.72 10.95 18.4 236.28 711.91 39.35 203.64 5.78 245.94 6.99 37.15
"16" "MG_298_X_MG_1529" 35.58 62.05 62.21 61.22 4.96 108.54 18.78 86.9 10.67 15.95 227.17 586.71 37.69 199.06 5.01 268.11 8.24 35
"17" "MG_298_X_MG_1531" 41.5096635120925 67.3361146161935 68.8001577287066 65.8298720644935 4.99184893094988 122.167788293025 19.6918664563617 92.9547896950578 10.5839344549597 15.9069838766211 244.298671573782 627.090490711532 39.4300455660708 204.9262127585 5.04453382404486 283.801032246758 13.5623821209465 39.0900525854514
"18" "MG_298_X_MG_1532" 41.5096635120925 67.3361146161935 68.8001577287066 65.8298720644935 4.99184893094988 122.167788293025 19.6918664563617 92.9547896950578 10.5839344549597 15.9069838766211 244.298671573782 627.090490711532 39.4300455660708 204.9262127585 5.04453382404486 283.801032246758 13.5623821209465 39.0900525854514
"19" "MG_298_X_MG_1533" 47.99 67.03 67.7 65.99 5.22 106.49 20.03 89.89 11.37 16.11 260.86 624.04 39.02 218.41 6.08 253.49 9.3 34.23
"20" "MG_298_X_MG_1535" 36.49 66.84 66.6 65.62 4.97 103.75 19.65 87.5 10.91 16.11 239.79 609.06 38.39 206.42 6.01 245.58 9.41 34.72
"21" "MG_298_X_MG_1536" 31.49 66.47 66.42 65.8 5.07 108.57 18.5 87.35 9.62 18.52 224.24 666.43 37.53 206.24 5.83 244.9 12.17 35.97
"22" "MG_298_X_MG_1539" 45.29 71.45 74.11 70.2 5.34 138.27 17.13 97.24 11.08 17.61 228.74 605.95 36.09 189.6 5.5 273.74 14.15 37.33
"23" "MG_298_X_MG_1541" 44.73 71.26 72.46 69.84 4.94 163.09 19.18 96.81 10.75 15.39 242.15 583.21 38.2 196.14 5.43 327.54 13.56 39.49
"24" "MG_298_X_MG_1542" 39.18 67.58 67.7 66.35 5.17 105.28 19.39 91.87 11.24 18.76 261.47 698.21 38.47 218.3 5.98 280.43 8.5 41.57
"25" "MG_298_X_MG_1543" 34.51 65.74 66.6 64.52 5.16 113.2 17.66 88.99 11.05 18.28 248.22 635.42 36.56 207.47 5.33 280.78 9.16 40.05
"26" "MG_298_X_MG_1544" 36.93 66.29 66.79 65.44 5.22 101.8 17.6 92.72 11.28 18.13 241.42 608.02 35.78 199.19 6.15 277.53 9.12 41.11
"27" "MG_298_X_MG_1545" 38.28 67.21 66.6 65.99 5.07 107.99 19.28 90.77 10.45 16.59 238.11 634.9 38.73 209.47 5.93 274.9 7.32 38.11
"28" "MG_298_X_MG_1546" 40.42 66.29 66.6 65.07 5.2 102.16 19.72 88.69 10.8 18.04 262.44 672.63 38.47 220.31 6.03 267.55 9.3 38.78
"29" "MG_298_X_MG_1547" 27.2 65.92 65.87 65.25 5.08 109.85 20.13 88.49 10.39 16.51 266.03 650.4 39.51 229.28 5.61 273.11 7.8 37.7
"30" "MG_298_X_MG_1548" 41 65.74 66.79 64.33 5.26 99.66 19.29 91.68 11.56 16.23 255.34 626.37 38.88 217.61 5.25 237.64 10.85 36.82
"31" "MG_806_X_MG_1530" 33.09 62.79 65.69 61.22 4.41 89.22 18.1 88.57 9.58 13.82 192.98 493.54 36.02 164.44 6.33 250.04 14.77 40.25
"32" "MG_806_X_MG_1534" 43.56 68.31 69.9 67.27 4.96 116.36 20.45 92.8 10.15 15.03 247.58 632.06 41.16 217.28 5.03 259.22 11.62 38.43
"33" "MG_806_X_MG_1538" 45.9 78.26 80.07 75.89 4.89 142.64 17.7 101.31 9.09 14.18 216.52 546.52 38.28 179.73 4.02 296.24 14.02 43.99
"34" "MG_806_X_MG_1540" 47.13 69.05 70.08 67.45 4.72 137.19 20.79 93.62 9.6 13.82 222.86 562.8 39.78 189.49 5.9 275.31 15.25 38.56
"35" "MG_806_X_MG_1518" 35.67 67.95 70.26 66.35 4.67 130.82 19.64 90.26 10.19 13.58 218.75 575.98 40.93 183.46 4.85 274.64 14.22 41.33
"36" "MG_806_X_MG_1519" 42.46 67.95 69.17 66.72 5.05 122.15 18.77 88.04 10.11 16.59 237.62 626.11 38.35 209.64 5.6 268.92 13.01 40.03
"37" "MG_806_X_MG_1520" 41.93 66.84 68.43 65.44 5.02 138.83 19.61 92 9.95 15.84 248.31 653.51 40.74 213.03 6.01 286.08 15.76 37.85
"38" "MG_806_X_MG_1521" 42.51 69.42 70.45 68.55 4.94 115.04 20.1 94.9 10.13 14.64 240.99 566.16 38.54 209.03 4.22 266.51 10.7 40.15
"39" "MG_806_X_MG_1522" 44.54 67.58 68.25 66.17 4.9 114.24 20 91.84 9.63 13.67 240.21 546.26 39.14 203.92 5.39 242.06 12.2 35.8
"40" "MG_806_X_MG_1523" 39.8 68.31 69.71 65.07 4.85 108.36 18.85 89.91 10.58 13.22 225.01 542.64 39.75 194.43 4.55 252.54 16.94 39.63
"41" "MG_806_X_MG_1524" 38.01 69.24 69.35 68.37 4.74 133.88 19.53 90.23 11.02 14.91 227.95 591.22 39.35 192.95 5.68 273.41 13.27 35.41
"42" "MG_806_X_MG_1525" 44.38 70.89 73.92 69.84 4.87 124.72 20.64 99.68 9.92 13.58 239.69 558.66 39.86 197.85 4.57 267.82 15.63 41.46
"43" "MG_806_X_MG_1526" 35.21 67.03 68.43 65.44 4.9 120.13 18.52 89.93 10.63 13.58 231.68 536.44 38.8 189.74 4.78 256.72 15.95 38.57
"44" "MG_806_X_MG_1527" 42.88 68.31 69.17 66.17 5 132.26 19.09 92.78 9.3 15.63 237.84 582.44 37.75 192.36 5.86 273.85 12.57 36.2
"45" "MG_806_X_MG_1528" 31.15 67.58 68.07 65.99 4.87 109.15 19.03 93.47 10.26 15.75 233.34 606.21 38.81 201.68 5.04 255.12 9.34 38.38
"46" "MG_806_X_MG_1529" 34.7 63.71 64.41 62.13 4.66 120.9 18.07 87.15 9.89 14.55 212.59 554.27 38.09 184.6 4.36 262.12 9.01 35.15
"47" "MG_806_X_MG_1531" 39.8 70.71 71.73 69.47 4.85 124.43 17.78 85.87 9.9 13.82 221.42 529.72 37.97 181.59 4.69 258.46 18.76 36.42
"48" "MG_806_X_MG_1532" 38.07 71.08 72.83 69.84 4.93 132.75 18.37 92.35 10.49 12.98 213.92 523.52 39.11 184.56 5.57 268.04 17.34 36.28
"49" "MG_806_X_MG_1533" 45.94 68.31 68.98 66.9 5.11 125.79 19.83 92.4 10.56 15.99 258.58 600.53 38.09 208.57 6.73 262.67 11.73 38.05
"50" "MG_806_X_MG_1535" 34.85 67.76 68.25 66.72 4.86 112.6 19.98 92.97 10.15 14.43 228.19 567.97 39.03 204.36 4.87 247.95 11.69 36.18
"51" "MG_806_X_MG_1536" 30.47 68.13 68.62 66.35 4.72 114.78 18.19 90.32 9.3 16.83 212.44 625.6 37.98 187.68 4.51 251.36 13.87 38.35
"52" "MG_806_X_MG_1539" 42.36 73.1 74.84 71.3 4.86 138.09 19.41 99.83 9.96 14.61 228.94 605.95 40.59 199.23 4.88 270.25 19.07 39.6
"53" "MG_806_X_MG_1541" 42.32 74.06 74.91 72.22 4.86 162.84 19.01 98.21 9.59 13.7 222.53 543.67 38.96 185.64 4.5 315.17 15.98 42.57
"54" "MG_806_X_MG_1542" 38.83 69.05 69.53 67.64 4.95 124.31 18.96 93.54 10.36 16.74 244.36 609.06 37.43 204.5 6.08 275.89 11.84 43.03
"55" "MG_806_X_MG_1543" 41.1 67.21 68.43 66.17 5.08 119.95 18.41 93.07 9.94 16.35 248.09 624.04 38.62 211.99 5.16 274.43 12.53 40.04
"56" "MG_806_X_MG_1544" 40.89 67.76 68.43 65.99 5.09 120.62 18.74 96.87 10.05 15.99 248.23 612.42 38.51 211.2 5.3 276.28 12.57 42.17
"57" "MG_806_X_MG_1545" 40.09 66.29 66.97 65.07 4.87 110.11 19.92 93.45 9.77 14.58 236.1 556.85 38.16 200.75 6.03 271.67 10.44 42.5
"58" "MG_806_X_MG_1546" 39.24 67.21 67.88 65.8 5 104.97 19.79 90.96 10.18 15.99 253.47 635.16 39.63 211.32 5.04 261.39 11.32 43.83
"59" "MG_806_X_MG_1547" 38.11 67.39 68.98 65.99 4.84 117.4 19.27 89.6 9.35 14.43 237.4 552.72 38.19 201.66 4.94 273.52 13.59 39.69
"60" "MG_806_X_MG_1548" 44.15 68.13 69.17 66.54 5.04 95.31 20.36 96.4 10.38 13.82 255.87 564.61 39.97 218.59 5.41 222.5 13.38 39.41
"61" "MG_833_X_MG_1530" 38.36 60.21 62.21 58.28 4.7 90.92 18.02 90.62 10.53 15.99 222.11 562.28 36.36 183.4 3.95 270.88 13.74 42.13
"62" "MG_833_X_MG_1534" 47.82 67.21 68.62 65.8 5.13 123.63 20.15 94.58 11.26 17.67 261.62 712.43 40.46 221.23 5.09 293.44 10.29 37.03
"63" "MG_833_X_MG_1538" 56.98 73.1 73.57 70.57 4.91 153.17 21.65 102.4 11.33 15.63 272.59 612.42 39.18 213.21 4.46 335.86 19.14 46.29
"64" "MG_833_X_MG_1540" 44.64 66.66 67.15 63.23 4.75 128.3 18.74 95.03 10.26 14.91 222.58 571.58 38.35 184.44 4.85 287.87 13.12 41.66
"65" "MG_833_X_MG_1518" 38.17 65.55 68.43 64.33 4.72 122.62 20 97.61 11.25 14.55 260.57 614.74 41.18 194.23 4.66 287.99 12.46 43.45
"66" "MG_833_X_MG_1519" 40.07 67.21 68.07 65.62 4.95 114.84 19.24 90.68 10.9 17.19 242.78 661.78 38.99 193.71 5.21 270.39 12.17 39.39
"67" "MG_833_X_MG_1520" 43.73 66.11 67.88 63.97 5.15 137.98 18.61 97.35 10.5 19 248.73 739.82 39.71 211.12 4.08 295.46 16.06 38.82
"68" "MG_833_X_MG_1521" 49.94 66.47 67.7 65.25 5.19 120.79 19.99 95.98 10.83 17.43 277.24 656.35 38.47 220.82 3.98 283.77 9.93 39.74
"69" "MG_833_X_MG_1522" 45.71 65.92 66.6 63.6 5.15 105 18.09 98.28 10.53 15.03 234.17 558.66 37.56 200.27 4.37 251.8 10.96 37.5
"70" "MG_833_X_MG_1523" 39.64 67.58 68.43 64.33 5.06 104.67 18 89.86 11.62 15.63 228.2 565.12 37 187.46 4.44 262.31 15.95 37.69
"71" "MG_833_X_MG_1524" 41.1 67.39 68.07 65.99 4.95 138.64 19.2 90.33 12.21 16.35 241.2 623.27 38.62 199.63 4.96 294.04 12.75 36.04
"72" "MG_833_X_MG_1525" 53.94 68.5 71.36 66.17 5.06 131.19 21.88 102.66 11.09 15.72 278.79 656.09 41.07 215.63 5.13 295.28 13.82 40.39
"73" "MG_833_X_MG_1526" 44.22 66.47 68.07 64.52 5.33 112.86 18.62 96.78 11.71 16.23 246.42 598.72 37.68 208.57 3.95 258.66 17.23 40.95
"74" "MG_833_X_MG_1527" 46.81 65.55 66.79 63.6 5.1 126.99 19.01 100.01 10.34 17.55 260.1 700.28 40.12 211.24 4.08 293.15 12.57 37.59
"75" "MG_833_X_MG_1528" 39.07 67.03 68.43 65.44 4.88 113.04 18.12 95.42 10.63 17.86 248.76 661.26 38.12 203.98 4.63 275.59 9.74 39.43
"76" "MG_833_X_MG_1529" 39.35 62.42 62.94 61.03 4.82 119.3 18.27 91.03 10.86 14.79 225.44 558.15 37.87 189.47 3.95 286.04 10.81 38.68
"77" "MG_833_X_MG_1531" 41.57 68.87 69.71 67.45 5.06 130.76 18.44 91.79 10.97 16.47 235.66 643.94 39.33 205.99 4.52 282.53 18.77 36.31
"78" "MG_833_X_MG_1532" 41.11 67.73 69.09 66.64 4.96 129.95 18.54 100.98 11.31 14.41 235.52 573.47 39.16 191.09 4.89 280.07 19.77 36.4
"79" "MG_833_X_MG_1533" 48.5 66.84 67.7 65.62 5.17 119.03 20.18 95.43 11.42 16.47 271.66 655.32 39.86 217.88 4.14 267.18 12.97 38.88
"80" "MG_833_X_MG_1535" 38.56 65.74 66.24 63.05 4.87 106.37 19.11 96.71 11.75 15.51 250.3 609.57 39.22 206.35 4.07 259.89 12.97 39.17
"81" "MG_833_X_MG_1536" 33.08 65.18 66.05 63.05 4.97 114.04 17.69 92.68 10.29 18.4 224.4 647.3 36.96 197.82 3.98 273.55 14.04 38.51
"82" "MG_833_X_MG_1539" 48.52 70.34 72.64 68 5.23 149.45 18.66 105.14 10.89 17.1 247.3 619.13 37.35 195.19 4.13 297.8 18.18 39.58
"83" "MG_833_X_MG_1541" 42.96 71.45 73.01 69.84 4.91 162.6 18.66 106.56 10.71 15.39 235.26 571.84 37.64 189.29 3.96 335.5 16.42 42.68
"84" "MG_833_X_MG_1542" 44.21 67.58 68.62 65.8 5.15 127.46 19.02 98.07 11.61 18.16 260.23 689.69 38.88 216.55 4.03 307.16 12.31 43.52
"85" "MG_833_X_MG_1543" 44.83 65.74 66.97 64.52 5.24 120.05 17.94 99.13 11.14 18.88 258.53 707.26 38.66 212.79 4.52 292.33 12.61 42.39
"86" "MG_833_X_MG_1544" 37.5 65.37 66.24 63.05 4.99 112.23 17.63 94.46 10.97 18.16 238.49 649.89 37.3 196.58 4.73 289.23 12.31 42.27
"87" "MG_833_X_MG_1545" 43.67 63.9 66.79 64.52 5.01 119.98 19.69 95.9 10.25 16.35 249.32 651.96 39.86 205.78 4.1 293.99 8.97 42.41
"88" "MG_833_X_MG_1546" 51.13 66.84 68.07 65.07 5.16 108.99 21.05 96.08 10.89 17.55 289.3 701.32 40.2 225.27 4.09 284.56 11.69 43.95
"89" "MG_833_X_MG_1547" 43.39 65 66.79 63.97 5.08 116.84 19.1 92.34 10.58 16.59 261.81 626.63 38.43 217.88 4.03 293.26 10.96 39.81
"90" "MG_833_X_MG_1548" 43.48 65.74 67.33 63.97 5.28 93.07 18.5 96.8 11.61 15.99 254.21 589.67 37.6 215.27 3.95 237.44 11.91 38.62
"91" "MG_199_X_MG_1530" 41.5096635120925 67.3361146161935 68.8001577287066 65.8298720644935 4.99184893094988 122.167788293025 19.6918664563617 92.9547896950578 10.5839344549597 15.9069838766211 244.298671573782 627.090490711532 39.4300455660708 204.9262127585 5.04453382404486 283.801032246758 13.5623821209465 39.0900525854514
"92" "MG_199_X_MG_1534" 42.76 67.21 67.52 66.17 5.05 114.7 20.65 92.47 11.97 14.79 268.16 629.73 41.44 223.28 4.49 289.92 9.89 36.9
"93" "MG_199_X_MG_1538" 51.64 73.47 76.93 72.04 4.78 142.27 22.07 106.01 11.33 13.94 254.99 592.52 41.14 196.43 3.95 336.01 12.9 42.73
"94" "MG_199_X_MG_1540" 43.96 68.31 68.62 66.72 4.78 144.08 21.03 89.89 10.69 13.34 224.84 518.09 38.17 188.9 5.27 300.54 11.25 38.84
"95" "MG_199_X_MG_1518" 36.96 65.55 67.52 64.52 4.83 116.1 20.53 94.19 12.04 12.62 241.86 545.22 41.19 205.93 4.57 288.12 11.18 40.41
"96" "MG_199_X_MG_1519" 45.99 67.21 66.97 66.17 5.05 123.73 21.65 86.32 11.36 13.88 273.04 597.17 41.03 229.87 4.44 292.17 10.85 36.08
"97" "MG_199_X_MG_1520" 39.16 67.58 68.62 65.99 4.93 136.75 18.99 91.69 10.98 15.63 241.37 676.25 42.19 207.14 4.11 299.37 12.28 38.17
"98" "MG_199_X_MG_1521" 44.13 67.76 67.52 66.72 5 120.62 19.34 95.86 11.8 14.43 251.27 529.72 37.04 201.41 3.95 296.92 8.46 39.05
"99" "MG_199_X_MG_1522" 44.86 66.47 66.42 65.25 5.19 114.04 19.95 95.19 11.37 13.82 267.66 552.46 39.22 221.43 4.01 267.57 10.33 36.85
"100" "MG_199_X_MG_1523" 36.83 68.31 68.8 67.09 4.84 113.74 20.14 82.28 12.36 13.7 223.85 535.92 38.54 194.39 5.02 270.4 13.3 36.36
"101" "MG_199_X_MG_1524" 39.38 68.87 68.8 68 5.04 137.15 19.22 86.93 12.57 14.43 250.15 567.45 38.92 199.87 4.52 298.39 11.4 34.3
"102" "MG_199_X_MG_1525" 50.85 71.08 73.01 69.65 5.08 136.08 22.52 100.42 11.64 13.94 272.27 586.31 40.8 214.68 5.4 298.59 12.31 38.04
"103" "MG_199_X_MG_1526" 43.13 67.03 67.88 66.17 5.13 117.83 20.29 88.97 11.91 12.98 257.56 517.83 38.84 215.12 3.95 265.02 14.07 37
"104" "MG_199_X_MG_1527" 39.96 66.11 66.42 64.88 4.78 129.48 19.85 93.07 10.81 15.03 263.44 626.89 40.88 217.4 4.04 304.94 9.45 37.08
"105" "MG_199_X_MG_1528" 39.22 66.29 66.79 64.88 4.96 104.05 19.23 90.42 10.67 15.87 245.57 618.88 39.11 210.88 4.56 265.93 9.93 37.01
