Trait,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R025,R027,R028,R029,R030,R031,R032,R033,R034,R036,R039,R040,R041,R042,R043,R044,R045,R046,R048,R049,R050,R051,R053,R054,R055,R056,R057,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068,R069,R070,R071,R072,R073,R074,R075,R076,R077,R078,R079,R080,R081,R082,R083,R084,R086,R087,R089,R090,R092,R093,R094,R097,R098,R099,R100,R101,R103,R105,R106,R107,R108,R109,R111,R112,R113,R115,R116,R118,R119,R120,R121,R122,R123,R125,R126,R127,R128,R129,R130,R131,R132,R133,R135,R137,R138,R139,R140,R141,R142,R143,R144,R145,R146,R147,R148,R149,R150,R151,R152,R153,R154,R155,R156,R157,R158,R159,R160,R161,R163,R164,R166,R167,R168,R169,R170,R171,R172,R173,R174,R175,R176,R177,R178,R179,R180,R181,R182,R183,R184,R185,R186,R187,R188,R189,R190,R191,R193,R194,R195,R196,R197,R198,R199,R200,R202,R203,R204,R205,R206,R208,R209,R210,R211,R213,R214,R216,R218,R219,R220,R221,R222,R223,R224,R225,R226,R227,R228,R229,R230,R231,R232,R233,R234,R235,R236,R237,R238,R239,R241
m0001-L,20.55729179,20.66623026,20.45462549,20.77764825,20.77013098,21.1074534,20.21755742,20.91552176,20.50470067,19.90855503,20.69053394,20.14871054,20.35235389,20.55583599,20.75123097,20.88243164,20.43606296,20.31422561,20.56758017,20.2841373,20.77008587,20.289647,20.36480498,20.28031316,20.59861527,20.21685832,20.39276646,20.29207988,20.70603346,20.45261055,20.0578854,20.72289474,20.22526067,20.69020642,21.00236671,21.01648298,20.36131484,21.05789751,20.8959527,21.14079849,20.7299169,20.09869252,20.46662582,20.82825851,21.18789693,20.76175909,20.37093517,20.54907057,20.51862475,20.8988457,20.69565418,20.46635092,20.87082531,20.14911615,20.58783146,20.97848386,20.95683683,20.84262771,20.59647481,20.36591195,20.46276761,20.76059432,20.60964048,20.46363061,19.95201479,20.80034057,20.47394088,20.60147932,20.77889725,20.88310699,20.37533121,19.9961903,20.28148651,20.8483982,20.89729664,20.90426005,20.76597306,20.45199375,20.49530267,20.61954424,20.57747053,20.80795999,20.5721892,20.409701,20.12551451,20.37244003,20.08962406,20.95918375,20.68079614,20.4813441,20.13096265,20.48246756,21.15204467,20.58855426,20.08174174,20.44585315,20.35561111,20.12949482,21.67402432,20.51611417,20.50220649,20.54937084,20.40428253,20.67299271,20.46363061,20.55443809,20.36780567,20.9467013,19.94302587,20.25667513,20.63633193,20.65469668,20.51545306,20.88439805,20.98831881,20.77332697,20.77916462,20.98482649,20.76485599,20.94472073,20.87921988,20.69554412,21.46072682,20.38385879,20.6800298,20.2879765,20.85299766,20.59828044,20.6948534,20.31029358,20.17033471,20.65844588,20.51877178,20.35945182,20.45763738,20.71278138,20.7798326,20.48517815,20.22376123,20.77635234,21.07320352,21.18020869,20.39547888,20.41736334,20.92481045,20.495055,20.73291578,20.84385068,19.95575643,21.12494646,20.77060452,20.80995214,20.6690695,20.74886521,21.21076362,20.59638872,20.50862684,20.53251094,20.53081565,21.24956183,20.81161516,20.75580129,20.84740587,20.85146776,20.91219501,21.46882129,20.97237474,20.3271547,20.95904489,20.6280707,21.30724687,21.01905937,21.12549797,20.68552931,20.93371139,20.81645444,20.79323863,21.34014483,21.04551611,20.67107,20.8683177,21.14569337,20.29611653,20.65549039,21.62559444,20.67808478,21.60800432,20.72132762,20.82394619,21.64071753,21.1339384,21.14882264,21.04005982,21.30622843,21.50018917,20.98668337,20.7538659,21.00032033,21.31837688,21.28982262,22.84749579,21.09822318,21.33930505,20.90099374,20.97956453,21.27204578,20.76342305,21.08790116,21.08763975,21.1613893
m0003-L,23.84496991,23.71573666,23.69052135,24.10140451,24.02722158,24.15544081,24.09702701,24.33595415,23.91330563,24.10946435,23.79013259,23.76295616,24.28951526,24.09059139,23.91316112,23.91422984,23.85142242,23.59383888,23.66520831,23.9222095,23.52906024,23.33730409,23.94673661,23.55837415,23.74098155,23.8037164,23.85041407,23.70044956,23.89947523,23.93154039,23.92976295,24.1735772,23.84318849,23.86758278,24.24624688,24.51840714,23.9858308,24.43822991,24.02152311,24.37843169,24.0827738,24.00308157,23.96914768,24.14627194,23.90581059,24.10867122,23.75988826,24.16128438,23.87940165,24.00948366,23.88573486,23.91728287,23.8739591,24.02786293,23.927046,23.83369863,23.62445664,24.0729043,23.94208631,23.74559081,23.94993013,23.86015475,24.17085227,23.74098155,23.61577815,24.26783428,23.76597562,23.72674981,24.25277496,23.67581001,24.11741334,24.04645865,24.1745637,24.12318311,23.9945594,23.86952002,24.2495183,23.92659218,24.3072067,24.29109182,23.83344041,24.13795933,23.72854422,23.88813296,24.06505552,23.95766239,24.18101312,24.36517705,24.2478481,23.5513917,23.92959343,24.14302144,23.97141763,23.52954254,24.12531877,23.44816993,23.91636256,24.08507788,23.89269723,24.01893157,24.08425746,23.93449311,23.66427015,24.13416058,24.17287172,23.91676534,24.07505534,24.08873557,23.49232497,23.98274016,23.75277496,24.19364351,23.7510399,24.37113043,23.85230357,24.21375765,23.53448963,23.70751881,23.55913008,24.11982664,23.7991604,23.90423196,23.7855932,24.10884755,24.08391535,23.96863931,23.79061237,24.24942763,24.01728209,24.04813872,23.74142179,23.60906789,23.86118065,23.80364912,23.80844437,24.20408941,24.07343688,24.14049483,23.94629501,23.79280158,24.11374535,24.35594263,24.00481473,24.24984463,24.12772728,23.86982705,24.09235226,24.29102335,24.23870264,24.12462915,24.51331794,23.62320471,24.05761742,23.88717467,24.17795583,24.30176254,24.21010893,24.305665,24.74348189,24.48478461,24.50593396,24.48475844,24.28507554,23.94386139,24.12877848,24.22691823,24.18941849,23.93139948,24.0566704,24.20832563,24.40369034,24.2026589,24.06195779,24.09646674,24.02286506,24.23929143,24.13416058,23.83772141,24.46224067,24.11289118,23.95796126,24.38094483,24.27144936,24.14627194,23.95376563,24.08532837,24.32339512,24.42585412,24.16986067,24.16375976,24.16038213,24.4324697,24.15179554,24.27660249,24.43606297,24.31529666,24.21251801,24.20076005,24.47665125,24.60113726,24.36108745,24.25219707,24.59541225,24.36604157,24.26103133,24.30583273,24.38109595,24.41191709,24.2436373,24.24755723
m0004-L,21.69904136,21.78545243,21.42180975,22.28423409,22.43023736,22.39986399,22.0462664,22.32674086,21.65156627,21.53414751,21.46748422,22.19768029,21.96240483,21.497281,22.29612741,22.11089329,21.5059543,21.45355576,21.06883359,22.39011257,22.55335742,21.35636808,21.38177497,21.46604153,21.75244562,21.89984514,21.59513918,22.02874608,21.82062028,21.35035857,21.57686187,21.67877638,21.72854421,22.33546498,22.45230835,22.22829327,21.7306797,22.28441932,22.07636778,22.65637237,21.32109335,21.5434729,21.45638396,22.19720003,22.23248813,22.28282255,21.99614413,21.55424034,21.72681569,21.66115321,22.13298422,20.60571311,20.8635378,22.38965879,21.9382193,22.21743124,21.92164979,21.34769966,21.34069732,21.25791507,21.28966895,21.35330929,21.93044058,22.1317419,21.51813229,22.03524171,21.63717321,22.24580957,22.02413711,21.8287765,21.89459201,21.60323695,21.67941615,22.54259988,21.97486705,22.05969651,22.31615822,21.92125201,21.37318347,21.04774546,21.352877,21.99068198,22.28711501,21.89588165,22.14013027,20.94213074,21.88648392,22.05839684,21.41389726,21.99157862,21.51905937,21.90575219,21.20646476,21.91586741,21.93279382,21.5634764,21.5507633,21.53845217,21.63491173,21.68368172,22.01135087,21.53946222,21.56344636,20.93192916,20.99708341,21.72870549,20.84099385,21.96190357,22.69076375,22.23638696,21.08405769,21.522422,21.94612714,22.46791304,21.62060239,22.24139246,21.7120483,22.18323658,22.5550766,21.90085262,22.12170472,21.63854159,22.72123861,22.51670738,21.72140002,21.92795279,21.61910219,21.90781923,21.05810939,20.99182749,21.22358079,21.17877638,21.869321,21.78621389,22.19596986,21.54930957,21.26988282,21.53585842,21.41304664,22.40504626,21.82367397,21.75413694,22.3211564,22.13603657,21.78301368,22.48059304,22.18307117,21.19452784,22.37210719,22.17170113,22.31361424,21.45812424,21.53314565,22.15878814,21.68131933,21.85908502,21.42413661,22.33333193,21.93473554,21.91310215,22.18298845,21.51429946,21.25695085,22.23087623,22.50364276,21.63388391,21.95003999,22.29007499,21.83950484,22.11385829,22.11422937,22.02840714,21.03138119,22.42251316,21.98948472,21.34267871,22.2470916,22.60827962,22.59118967,21.73668237,21.86195067,21.88647432,22.53749715,21.93747292,22.421892,21.95416773,22.06083934,22.22213572,21.99937705,21.91482995,22.93219948,22.04956992,22.08003952,22.37376985,22.54482284,21.90882494,22.64335766,21.75235893,21.91770352,22.4902083,23.37530074,21.98737638,22.1685302,21.94988617,22.14542193,22.33585377,21.52027236,22.45135712,21.86171727,21.63490493
m0005-L,22.88953216,22.6510809,22.7026171,23.18386288,23.42256338,22.94892954,22.90509771,22.87284119,22.6107667,22.46946323,22.83648028,22.70350208,22.57713458,22.81859046,23.03442122,23.09281209,22.49634197,22.53222867,22.51348698,22.49613794,22.73775072,22.91192173,22.64717278,22.65446502,22.81626138,23.05080916,23.00253017,23.00864345,22.81090671,22.73515678,22.75472912,22.71328951,22.57859954,23.42419354,23.17344422,22.94746025,22.56772576,23.17141021,23.01608009,23.26766101,23.01331794,23.01504677,22.95638396,23.15534991,22.83249969,22.66292195,22.88291892,23.02251739,22.88968746,22.84667595,22.68186126,22.53345888,22.68166366,23.28309123,22.97953078,22.75840672,23.1507649,22.76001408,22.50389769,22.53901953,22.82100139,22.80681287,22.68878753,23.16326536,22.41181284,22.98172102,22.81502779,22.94264371,22.96202892,22.80271318,22.38754855,22.47326036,22.60980952,23.3764331,22.99798036,23.28187859,23.1778557,22.29714118,22.80449647,22.45638396,22.96713884,22.76534435,23.33554868,23.07786743,22.76457758,22.46446673,22.75567185,22.96028288,22.37871069,22.6468283,22.22517605,22.80202426,22.73792764,22.88433669,23.16890016,23.00794422,22.66028692,22.50188429,23.00091028,22.80244767,22.9823726,22.99613794,22.70635542,22.6188762,22.67383422,22.51992144,22.69456541,23.05992296,22.92976295,22.65902664,22.84293874,22.65634596,22.66962978,23.12700558,22.95703706,23.10777129,22.98457519,23.23361906,22.97274956,23.16056267,22.82749253,22.95588394,23.33307874,22.35552695,22.91116385,22.25152036,22.83154739,22.93541525,22.71534129,22.44606528,22.57495187,22.70751112,22.9520608,22.28991041,22.8053858,22.79905477,22.77828417,23.0342355,22.80268219,23.40929472,23.27891815,22.51966412,22.92647868,23.09039788,23.15269947,23.41052587,22.85465098,23.42372653,23.12221891,22.92619485,22.96758716,22.82350641,22.85495061,23.12125775,22.99284075,22.7115347,22.82006798,23.17270231,23.0556652,22.9253427,22.8780312,22.99035376,22.67725143,22.95214625,23.24544494,23.10511791,22.91312528,23.2675832,23.17247636,22.85093985,22.91291827,23.02572947,22.81870909,23.08605659,23.29366177,22.76712324,22.98457519,23.21090903,23.22621063,22.95921847,22.6322541,22.80191365,22.46645831,22.77599444,23.03340408,22.89254615,23.33709854,22.81946785,22.99670455,23.13009696,23.71649638,22.99592149,23.40587483,23.20214786,23.01923107,22.96126784,23.27495889,23.43573806,22.93505416,23.22395965,23.9019456,23.20072125,23.43308856,23.16306914,23.19264354,23.25870041,23.03140474,23.18435527,22.95258428,22.99874066
m0006-L,18.21402395,18.13013051,17.96329243,18.40632334,17.82903973,17.8000052,17.97274002,17.61118971,17.86223026,17.77520644,17.41210313,17.75031156,17.76910256,17.81410507,17.6863486,17.67839224,17.23506064,17.53435991,17.56135246,18.48094543,18.43875765,18.19161523,17.46273997,17.92832968,18.27182977,18.05051194,17.90006295,18.00685881,17.91840727,18.61960261,18.57596873,17.5876688,18.51547874,17.96194368,17.70174888,18.1284458,17.94856371,18.46247464,18.88449662,18.56934866,18.40715357,18.29775788,18.31664057,17.58311817,18.58781752,18.46483707,18.13271137,17.71564495,18.43281398,18.25100122,18.3087404,18.00260404,18.15082146,18.841906,18.27527811,17.70715676,17.96187729,17.84183085,16.90548019,17.46092492,17.92832967,17.61485138,17.60257283,18.37559942,18.14516997,17.8112607,17.56866182,17.91053627,17.84810348,17.23736063,18.0781714,17.64723563,18.18494468,18.15840374,18.08513593,17.90019556,17.9467352,17.84555936,17.62606118,17.30552434,17.51092322,18.23776842,17.67765412,18.04792351,17.93617049,17.81487887,17.88301981,18.16728197,17.85787165,17.75065277,17.3171412,17.73998454,18.23165015,18.1569612,18.49488587,17.44351843,17.82440829,17.94930733,18.69044326,17.97378578,17.65547347,17.35840834,17.43932878,17.79533627,17.27037365,17.90932318,17.17513885,17.66170815,18.11944696,18.00784591,18.61397804,17.8869349,18.31399641,18.14678187,17.70292245,18.16777294,18.48072984,18.60566211,18.19582823,18.47349181,18.20163777,18.60782581,19.53815323,18.52795603,18.24598802,18.18589445,18.71825584,18.20320762,17.52196332,17.22924783,17.93731639,17.86655006,18.20548497,18.23054532,18.47357893,18.28382752,18.36618369,17.97305608,17.63162766,18.24791114,17.57718174,18.02192258,18.51704385,18.20655788,18.9185248,18.3873277,17.99219566,18.23250239,18.58401098,18.09377803,18.72354951,18.29066498,18.86815861,18.64629353,17.58266901,17.79472262,18.20239933,18.50381629,18.5834642,18.4452362,18.55854143,18.49961175,17.68673764,18.51431168,18.85039328,18.20544549,18.05449406,18.7003508,18.5332481,18.08146989,18.58370727,18.63118584,17.69508371,18.22878169,18.24583126,17.5589188,18.17754744,18.50444251,18.51516017,19.19455288,18.45042133,17.87110776,18.70296999,18.75200858,18.83887085,18.42119933,18.77542502,19.24599549,18.94890181,18.8163055,18.99782936,18.86573812,18.54316368,18.91552176,19.14684182,18.68357872,19.17758027,19.14229307,18.95117146,18.77195938,18.76824185,18.87609193,18.39581854,18.51336946,18.59429862,18.89521189,18.69913321,18.50692639,18.53281693,18.14994373
m0008-L,24.08227094,24.3786743,24.07984316,24.35788014,24.42959343,24.35875344,24.30351453,24.1518786,24.02450184,23.71474784,24.25192603,24.23317773,24.15997165,24.07255676,24.15459328,24.26834678,23.9670852,23.80596689,24.11175071,24.00415254,24.13560604,23.81962057,24.31426964,24.10015651,24.61545066,24.032508,24.14470095,24.1844545,24.29642992,24.24928253,24.44052953,24.06019177,24.48948056,24.38577989,24.7446421,24.13222167,24.12125775,24.36071452,24.7050158,24.66422933,24.17512682,24.22555107,24.08103517,24.45205587,24.68065411,24.52749299,24.35184739,24.07426968,24.20544,24.26210131,24.64024168,23.98090047,24.01780733,24.30660381,24.19647905,24.29280158,24.28414284,24.1722463,23.7152158,23.80068227,24.03858239,24.05657563,23.93802049,24.21588867,24.01178163,24.56149904,24.16107943,24.05129623,24.3287765,23.9544757,23.97397276,24.05553233,24.08085191,24.12691101,24.60789929,24.46684374,24.49090936,24.11069637,24.075794,24.20570981,24.2136052,24.32486675,24.10725906,23.8138717,24.1062866,23.84589071,24.02608549,24.28855392,24.39070205,24.13192292,23.94883051,23.98614436,24.0352954,23.9646024,24.39388576,23.92169549,23.8528066,23.70370307,24.33661336,24.1168251,24.00608645,23.96805021,24.03275294,24.09020704,23.73219397,24.08528284,23.88468317,24.40940805,24.05172574,24.01997927,24.00517103,24.05849231,24.28571393,24.50593396,23.88603505,24.33479505,24.34197716,24.3588002,24.32802877,24.24438647,24.02288989,24.43111759,24.6917797,24.07493985,24.31994957,24.14260096,24.31280943,24.10770066,24.15266711,23.74712071,24.16965814,24.04568932,24.00154886,23.91226448,24.27245131,24.02727094,24.11315411,24.14888268,24.0323855,24.01372036,24.44094685,24.30297591,24.33679012,24.37953795,24.40194559,24.3065368,24.20686502,24.59130303,24.42078081,24.39628655,24.497034,24.25185373,24.37876526,24.36564031,24.46896042,24.51945561,24.574859,24.77130862,24.69144566,24.73040864,24.54112863,24.59262278,24.4350822,24.24021046,24.57532088,24.21890317,24.16128438,24.27913051,24.26210131,24.45545772,24.51725706,24.55837415,24.12888566,24.25439779,24.39035904,24.14352571,24.31304193,24.36434242,24.58405222,24.48414307,24.08352742,24.32347695,24.23789226,24.5399415,24.54597791,24.37780962,24.62445664,24.43289171,24.29868628,24.43750366,24.8120782,24.20207815,24.73675804,24.45224757,24.73708097,24.48511171,24.25748907,24.65448985,24.55416664,24.650715,25.12085147,24.49300845,24.55781851,24.77078061,24.64033662,24.9392761,24.36428056,24.85330929,24.50859787,24.44568738
m0010-L,20.21840125,20.50835452,20.09631983,20.90150155,20.945004,20.55610917,20.19448274,20.10147932,20.07235539,20.21418192,20.14514637,20.18310553,20.47679206,20.21786791,20.70031601,20.51251241,19.81775635,20.45951345,20.18056632,20.22289474,20.76927331,20.41400814,20.20276199,20.57444722,20.98010426,20.56527655,20.32277285,20.87991762,20.75308105,20.67556896,20.74788881,20.14155911,20.54471802,21.09830906,21.21395275,20.86123533,20.32187061,20.7475165,20.78911989,21.09248934,20.41256541,20.42385231,20.27132551,20.86059886,21.36125521,20.56725153,20.55451109,20.17921148,20.58807537,20.37071544,21.04241433,19.70411784,20.00034656,21.29917801,20.68120451,20.47675819,20.95087445,20.15760269,20.17023109,19.89152461,20.16781246,20.2662634,20.16328564,20.67428199,20.30149262,20.65042214,20.11330551,20.68596036,20.47264735,20.10820763,19.97334887,20.05892605,20.31653905,20.75183276,20.70165662,20.61971376,20.53255798,20.30635716,19.97760462,19.57555291,19.9530308,20.36223264,20.8361029,20.13279869,20.66838411,20.30541265,20.41474689,20.70021661,20.13099548,20.43404575,20.0034873,20.19829543,20.11531002,20.88938638,20.79183915,20.28753625,20.2005893,20.29737743,20.77152816,20.10810598,20.34527486,19.99711305,20.42592,19.84698017,19.64563977,20.64416393,19.88426713,20.54222872,21.04500777,20.2197087,20.13904765,19.91322425,20.41408205,20.6126492,19.99800174,20.55583599,20.584933,20.89686155,21.06758017,20.53576477,20.261896,20.77285522,21.49522013,20.14760999,20.39036083,19.93589807,20.5102198,20.29681247,19.96772439,19.8729879,20.32707967,20.05670376,20.589989,20.14113304,20.61784963,20.27191078,20.2135869,20.16965052,19.82653751,21.02576903,20.5286121,20.59512481,20.79915634,20.81150867,20.43731639,20.95385306,20.56515667,20.29941631,21.27827302,20.46483707,21.10489103,20.39895891,20.6117788,20.46947179,20.42278703,20.06686893,20.3024164,20.75593934,20.64483514,20.50684841,20.39456828,20.1875758,20.20740286,20.41625895,21.03715256,20.6219333,20.33705743,20.86095694,21.02494561,20.62043586,20.85872601,20.84221959,20.06620486,20.96471652,20.73776841,19.95699005,20.45951345,21.28156644,20.60036704,20.50104132,20.49068198,20.36689888,20.1930986,20.74939934,20.73644605,20.44874687,20.65636247,20.68654314,20.6999929,20.63445586,21.86541304,20.40230955,21.16905911,21.09587193,21.04095916,20.77599444,21.40482172,21.05551714,20.51283473,20.83069754,21.76989974,20.93491506,20.42022686,20.71270811,20.99028311,20.98948472,20.59713453,20.70534284,20.30579919,20.21999892
m0011-L,16.79759113,17.05212305,16.38400675,17.03486418,17.33550848,16.15936215,17.43410326,16.56303961,17.53643873,17.08644072,18.41921785,17.16994916,17.67527059,17.05984688,17.38577982,17.40915652,17.03070751,16.57944183,17.08755725,16.78681013,17.02273674,16.99423013,18.15527036,18.57012057,18.738621,17.11323823,17.26492687,18.09234793,17.68966492,17.54041969,18.19652401,16.67273045,17.70736152,18.40867417,17.11939181,17.59196917,17.82216868,17.84075827,18.12750521,18.49603727,17.23554546,17.61788864,16.44668095,18.72271746,19.11698326,17.28813492,17.43617049,16.62857756,17.98419305,16.93347272,18.49895504,17.09137754,16.81524512,17.63236196,18.05120648,17.88938639,18.83789901,17.14483514,16.50733278,17.14070133,17.04878735,17.45034262,16.87187294,18.00977465,18.0160436,17.3530234,17.55273995,18.04768773,17.93971688,17.02012818,17.3617727,17.38385879,17.52929781,16.91072637,18.25052669,17.66335051,17.48761836,17.83414379,17.20466342,16.84572838,17.16915253,17.55899618,17.64070133,17.0304258,18.37642215,17.66840489,17.92522755,17.88625928,17.90242223,18.01812461,17.4259328,17.216143,16.71813172,17.93852907,18.31618023,17.55193944,17.33504156,17.21968161,16.7495841,17.247144,16.72945559,17.17325901,16.90183313,17.08967389,16.78651666,17.15157733,17.63904116,17.64622497,17.3822293,17.49257756,18.12312901,16.63933196,18.12745243,17.9126839,17.40972777,17.79353568,18.58629173,18.51508822,18.58266901,16.68167672,17.07536855,18.31674208,18.41286159,17.62662504,17.20073236,17.72863644,18.02644986,17.15911972,17.07218446,17.2133058,18.22183043,17.37642215,17.60566211,17.49697603,18.07884925,16.85441195,14.80279212,17.09815219,16.47357805,18.2236804,17.59917756,17.70497951,17.82487679,17.92071911,17.4164063,18.42410891,18.07987422,18.20098662,18.48618599,17.50124307,17.88883553,17.91725445,18.46119083,17.82214182,18.36560217,17.30752835,17.77969371,18.07125311,17.26498503,18.03303756,17.87267489,16.96464748,17.79528051,17.08311817,17.78049106,17.30810382,17.25644343,18.34181778,17.4550278,17.33567459,18.72416523,17.84445324,17.02799036,18.3000052,17.7430937,17.06289339,16.76510135,18.03291722,17.01554039,17.69963482,17.35810171,17.47662131,17.05853175,17.50502649,17.35897016,18.07091068,17.72888106,17.62238524,17.41167614,17.22609363,18.33778072,16.86262658,18.09494768,17.6265722,17.53393943,17.71452311,17.50868648,18.95997408,17.46251887,17.22988923,17.9528123,18.25896963,17.1601293,17.46296101,18.22604759,17.5304258,17.4141397,17.2771534,17.28793777,17.21321208
m0012-L,17.62579671,18.94137541,19.25757544,19.96096925,19.58113227,18.35958255,19.22993503,19.46434094,18.13047224,19.01397715,18.48489013,19.30327177,19.09448512,18.487597,18.82242384,18.70115741,18.30261826,18.52377347,18.27340512,19.37240871,17.25561904,18.89411255,18.85591319,18.38329752,17.57601124,18.13445586,17.77420228,18.66386089,18.6067493,18.48599337,18.55159749,19.995055,17.63236196,19.0458628,18.58167144,19.64188792,18.47737991,18.78467691,18.22787148,18.36291606,18.06745829,18.90915652,20.11308681,17.97893793,18.43628516,18.04500038,18.89008353,19.60558958,18.89224408,18.07002531,17.43708736,18.134055,18.71732834,18.81914021,18.55803796,17.35163218,18.15960786,18.44734521,20.15731789,19.01348795,19.15311726,18.5485126,19.65453255,18.18871203,18.16505594,19.91263206,17.82945205,17.49387028,18.26736563,18.50835452,18.46703798,19.1371385,18.9369499,19.66659489,18.59433086,18.82294059,19.9171426,17.77592284,18.27321109,18.13904116,19.19137374,18.74488626,18.92062245,19.79385005,17.89059679,18.42732034,19.05594285,19.41152337,18.20821933,17.14345984,18.73001134,19.43421826,18.94053808,18.04637976,19.23138743,18.63781952,18.33850984,18.57822791,17.68198999,18.28541224,19.84700451,18.86686259,19.51319942,18.17193689,19.74646369,18.57680437,19.67188726,19.428363,18.50314771,18.79325611,19.07541582,19.70484914,18.32973787,19.72462667,18.32149678,18.59248645,18.42475001,18.21208644,19.01998526,18.30867882,18.50971251,19.05578741,17.25967305,18.50304319,18.64689319,18.45537964,18.10459145,19.40123302,19.94942275,18.06004974,18.47497676,18.47305064,19.47941603,18.04697995,18.26496322,20.04516801,18.42358395,19.63435458,18.77366376,18.47651287,18.53600947,18.22489571,17.86433639,18.59065583,18.56219075,18.88132655,17.55860918,19.12346522,18.52273674,17.3211606,19.07801127,18.29472262,18.13155769,17.91079765,19.02090359,18.88695946,17.98132256,18.64340821,18.95613301,20.12692442,18.4819417,18.77348416,17.91982811,19.57671235,19.56050354,19.86982017,18.68069605,19.30745638,19.08016545,18.9002257,19.92010227,18.63729905,19.2480935,18.6084854,18.31903904,18.68728033,19.30247333,18.18800057,19.50854645,18.98868544,18.93948861,18.82593982,17.83436834,17.94216628,19.08811021,18.40234411,18.73123128,18.59929648,19.07623794,18.99315798,18.206684,18.64209052,17.99675464,18.90120142,18.45673514,18.31093336,19.61454919,18.74863285,18.51960738,19.81029358,17.1196693,19.05437725,19.9003161,18.77040973,19.11603654,18.20277982,19.29347977,19.2519068,19.07963926,18.46738951
m0016-L,24.29607301,24.21554661,23.77866044,24.5526078,24.79280158,23.76717987,24.33120938,23.93516632,23.88124703,22.9849856,24.66101792,24.44600507,24.56945623,24.15428295,24.42238075,24.46533953,23.40674445,23.70044956,23.85142242,23.33953558,24.26769283,23.81935725,24.55220266,24.70838322,25.18942342,24.34165805,24.10349454,24.5231133,24.49421073,24.36110298,24.60539033,23.55404064,24.53631962,24.95499415,24.7397511,23.8830877,24.00147469,24.53228748,24.39502788,24.97515412,24.29583497,24.54294188,23.78507554,24.92340742,25.36339457,24.6484656,24.39510198,23.93726607,24.62485551,24.14344169,25.11945213,23.77831205,23.76618828,24.65237671,24.67907634,24.64011507,25.15294186,24.03502691,23.18547858,24.00172784,24.06186371,24.29654885,23.57282554,24.77970462,24.24076132,24.49765134,24.21077893,24.69761014,24.62295623,23.83874765,23.80821038,23.99124666,23.95796126,23.83948436,24.82185486,24.4750878,24.42931083,24.26386332,23.89575373,23.02782348,23.85781772,23.90395095,24.47577719,23.63371361,24.60006728,24.10602115,24.40721093,24.5670199,24.49967965,24.61254046,23.76352549,24.04595387,23.85274374,24.66162244,24.92679785,24.42938149,23.96587711,23.75709441,24.50103723,24.30395186,23.75705853,23.92670566,23.96676323,23.88573485,23.32890647,23.91417212,24.02231865,24.36653511,24.45472133,24.0972062,24.41185918,23.27296055,24.35631804,24.55410721,23.88094483,24.38334382,24.80574887,25.00688649,24.89245929,23.99041609,23.68065411,24.79054384,25.30814351,23.97045711,23.98426095,23.98134768,24.67547854,23.76597562,23.93802049,23.69530707,24.45817856,24.09879461,24.30287487,24.06758017,24.5550576,23.82721514,23.29713303,24.0654301,23.28074727,24.72179208,24.62566334,24.3880731,24.60681719,24.51648098,24.20828722,24.99673158,24.68867903,24.51041888,24.96442473,24.1875437,24.61748956,24.40355853,24.67821611,24.5395777,24.6272763,23.93606296,24.40761885,24.80403593,24.13954506,24.62901425,24.51472545,23.94408297,24.20751881,23.87794622,24.7537491,24.24444126,24.07009601,24.85217776,24.50445824,24.32152672,24.79663379,24.72919731,23.94905057,24.92845528,24.80767526,23.73597319,23.81094668,24.94599126,24.22984982,24.6875437,23.96083505,24.45019104,24.0004484,24.8635378,24.4151817,24.80675458,24.46536642,24.09235226,24.44357047,24.13742998,25.23106006,24.19916737,25.09208164,24.66659293,24.5262832,24.44463662,24.27900867,25.37238559,24.32344422,24.0462664,25.40395754,24.7050158,24.09126915,24.73704407,24.90436364,24.52939001,24.10411593,24.20122554,24.24318011,23.96272658
