"RIL" "Trait1" "Trait2" "Trait3" "Trait4"
"1" "R001" 26.55 11.575 98.6 24.2325
"2" "R002" 18.65 12.975 61.8 23.395
"3" "R003" 21.3625 12.25 74.1 24.02
"4" "R004" 26.94 9.9 126.65 22.2575
"5" "R005" 26.0325 11.4 88.55 26.1275
"6" "R006" 26.0225 11.425 106.1 21.62
"7" "R007" 25.885 11.15 91.675 25.44
"8" "R008" 31.955 12.025 106.75 25.1875
"9" "R009" 31.1625 9.825 123.175 25.6825
"10" "R010" 28.0925 11.45 87.85 28.745
"11" "R012" 31.2275 11.525 89.3 29.915
"12" "R013" 24.81 9.875 102.7 24.1075
"13" "R014" 21.7725 10.2 79.125 26.5675
"14" "R015" 28.8675 8.25 149.325 23.3925
"15" "R016" 33.7575 12.95 99.325 25.525
"16" "R017" 30.7225 12.175 98.5 25.35
"17" "R018" 27.69 10.8 97.25 25.6275
"18" "R019" 27.46 10.35 98.575 25.9475
"19" "R020" 29.4025 11.1 102.225 26.0525
"20" "R021" 34.32 10.625 125.6 26.0975
"21" "R022" 13.835 7.775 74.75 23.785
"22" "R023" 23.83 12.45 94.225 20.38
"23" "R025" 26.38 11.25 122.5 19.0225
"24" "R027" 27.08 8.55 134.925 23.5125
"25" "R028" 21.6275 11.1 80.875 24.665
"26" "R029" 28.1325 11.9 93.25 25.405
"27" "R030" 27.66 10.95 91.45 27.7725
"28" "R031" 24.22 12.375 77.125 26.245
"29" "R032" 20.63 11.1 82.325 22.57
"30" "R033" 31.2625 10.875 114.675 25.065
"31" "R034" 30.085 10.375 117.15 24.8525
"32" "R036" 29.3475 12.8 109.025 21.44
"33" "R039" 20.9275 11.675 69.05 26.32
"34" "R040" 33.4025 11.8 128.95 22.235
"35" "R041" 33.85 11.95 126.475 22.665
"36" "R042" 28.3975 10.7 101 26.295
"37" "R043" 25.58 11.075 83 27.7525
"38" "R044" 20.7275 10.975 75.775 25.345
"39" "R045" 25.49 10.225 92.9 26.3175
"40" "R046" 30.44 10.2 119.875 24.79
"41" "R048" 29.9325 12.1 115.775 21.395
"42" "R049" 19.015 11.45 73.75 20.3375
"43" "R050" 23.885 8.65 111.15 24.2975
"44" "R051" 29.41 11.025 97.3 27.7925
"45" "R053" 14.47 9.75 68.15 22.3525
"46" "R054" 24.77 10.825 96.125 24.22
"47" "R055" 21.1475 12.375 87.275 20.005
"48" "R056" 27.3575 12.625 85.85 25.28
"49" "R057" 27.93 11.1 119.175 21.395
"50" "R059" 25.5275 12.275 82.8 25.56
"51" "R060" 16.4325 10.35 73.875 21.0975
"52" "R061" 26.37 10.575 98.7 25.2925
"53" "R062" 27.1725 9.875 110.4 24.9325
"54" "R063" 17.27 9.65 71.625 25.35
"55" "R064" 27.6525 10.975 95.95 26.5125
"56" "R065" 26.7425 9.425 102.65 27.965
"57" "R066" 21.9975 11.575 96.4 20.0325
"58" "R067" 21.695 10.425 101.9 20.3975
"59" "R068" 27.9 12.225 86.275 26.5325
"60" "R069" 28.0475 11.875 91.375 26.6625
"61" "R070" 25.5325 11.1 108.025 21.3675
"62" "R071" 31.5625 11.025 124.7 22.87
"63" "R072" 26.2775 12.8 89.1 23.8325
"64" "R073" 16.8675 10.475 66.25 25.685
"65" "R074" 20.965 10.825 74.175 26.9525
"66" "R075" 23.7325 11.575 76.425 26.5875
"67" "R076" 30.5075 9.2 142.525 22.975
"68" "R077" 25.165 11.375 80.8 27.9225
"69" "R078" 26.5175 10.475 93.25 26.5675
"70" "R079" 31.1875 11.15 118.475 23.4825
"71" "R080" 32.7 11.2 130.925 21.8825
"72" "R081" 31.1475 10.5 122.875 24.0175
"73" "R082" 30.455 11.05 111.7 24.56
"74" "R083" 32.985 10 112.65 28.5775
"75" "R084" 23.98 11.8 114.425 18.2025
"76" "R086" 26.985 11.925 90.625 25.0125
"77" "R087" 26.3375 11.15 89.175 25.84
"78" "R089" 11.87 11.275 58.8 18.025
"79" "R090" 26.145 9.9 117.475 22.695
"80" "R092" 34.3225 10.25 139.2 24.8675
"81" "R093" 26.005 9.475 102.775 27.61
"82" "R094" 29.5425 9.4 138.35 23.005
"83" "R097" 19.5425 13.125 61.125 24.6225
"84" "R098" 24.7 11.9 86.55 23.855
"85" "R099" 26.8625 11.625 111 21.02
"86" "R100" 30.8275 11 135.175 20.9825
"87" "R101" 27.7975 9.325 131.05 22.905
"88" "R103" 24.2575 10.8 102.625 21.8575
"89" "R105" 36.99 11.825 109.55 28.0925
"90" "R106" 25.3275 10.475 88.3 28.1925
"91" "R107" 34.425 11.075 133.15 23.3675
"92" "R108" 21.7975 10.675 76.25 27.4925
"93" "R109" 26.0075 13.4 90.175 22.38
"94" "R111" 18.4125 11.8 77.25 21.9
"95" "R112" 20.755 11.15 84.85 23.505
"96" "R113" 26.0625 10.55 105 23.76
"97" "R115" 26.445 9.325 115.925 25.0275
"98" "R116" 24.49 11.6 103.9 20.625
"99" "R118" 9.96 11.075 50.175 18.945
"100" "R119" 28.775 11.25 94.9 27.3675
"101" "R120" 26.5575 12.325 91.55 23.78
"102" "R121" 27.565 11.05 123.55 20.95
"103" "R122" 27.365 10.95 93.4 27.205
"104" "R123" 24.945 10.4 110.2 22.1075
"105" "R125" 20.9625 11.625 79.225 22.4925
"106" "R126" 23.675 11.125 97.8 21.895
"107" "R127" 21.1775 10.15 85.125 24.89
"108" "R128" 28.26887805 11.54597561 110.9469512 22.24737805
"109" "R129" 17.7725 12.4 61.5 23.5875
"110" "R130" 24.98887805 8.92097561 111.1969512 25.02987805
"111" "R131" 24.4525 9.45 112.325 23.845
"112" "R132" 29.24 11.4 87.075 29.0575
"113" "R133" 23.4425 11.825 94.25 21.6075
"114" "R135" 28.0825 9.325 138.7 22.2975
"115" "R137" 27.7675 11.925 84.075 28.56
"116" "R138" 28.4375 12.525 104.65 22.0425
"117" "R139" 22.6 10.675 83.05 26.1675
